Time,visa,mastercard,union,bnu,boc,hsbc,jcb
2024-05-18 11:31:49.920362+00:00,111.38635169999999,111.52834,111.30899400000001,112.51,112.25,112.051845,111.9881559610858
2024-05-18 15:32:23.696505+00:00,111.38635169999999,111.52834,111.30899400000001,112.51,112.25,112.051845,111.9881559610858
2024-05-18 19:32:03.528931+00:00,111.38635169999999,111.52834,111.30899400000001,112.51,112.25,112.051845,111.9881559610858
2024-05-19 09:41:02.198909+00:00,111.38635169999999,111.52834,111.30899400000001,112.51,112.25,112.051845,111.9881559610858
2024-05-19 11:31:52.357381+00:00,111.38635169999999,111.52834,111.30899400000001,112.51,112.25,112.051845,111.9881559610858
2024-05-19 15:32:05.511057+00:00,111.38635169999999,111.52834,111.30899400000001,112.51,112.25,112.051845,111.9881559610858
2024-05-19 19:31:46.507963+00:00,111.38635169999999,111.52834,111.30899400000001,112.51,112.25,112.051845,111.9881559610858
2024-05-20 09:37:03.079224+00:00,111.38635169999999,111.52834,111.30899400000001,112.38,112.11,111.98995500000002,111.9881559610858
2024-05-20 11:31:53.905381+00:00,111.38635169999999,111.52834,111.296605,112.38,112.05,111.93838000000001,111.9477276740042
2024-05-20 15:32:02.755644+00:00,111.38635169999999,111.52834,111.296605,112.38,112.03,111.928065,111.9477276740042
2024-05-20 19:32:07.400525+00:00,111.38635169999999,111.52834,111.296605,112.38,112.0,111.88680500000001,111.9477276740042
2024-05-21 09:36:10.993439+00:00,111.20431941999999,111.22784999999999,111.296605,112.11,111.88,111.763025,111.9477276740042
2024-05-21 11:33:29.515233+00:00,111.20431941999999,111.22784999999999,111.09876700000001,112.11,111.99,111.87649000000002,111.70804814740517
2024-05-21 15:32:13.916255+00:00,111.20431941999999,111.22784999999999,111.09876700000001,112.20000000000002,112.0,111.90743499999999,111.70804814740517
2024-05-21 19:32:16.496858+00:00,111.20431941999999,111.22784999999999,111.09876700000001,112.20000000000002,112.0,111.88680500000001,111.70804814740517
2024-05-22 09:37:00.420818+00:00,111.21836737999999,111.26319,111.09876700000001,112.18999999999998,111.98,111.84554500000002,111.70804814740517
2024-05-22 11:33:05.135698+00:00,111.21836737999999,111.26319,111.172874,112.18999999999998,111.99,111.866175,111.74197504600487
2024-05-22 15:32:17.161322+00:00,111.21836737999999,111.26319,111.172874,112.18999999999998,111.97,111.85586,111.74197504600487
2024-05-22 19:32:20.807172+00:00,111.21836737999999,111.26319,111.172874,112.18999999999998,111.98,111.85586,111.74197504600487
2024-05-23 09:37:16.583231+00:00,111.21315624000002,111.19859000000001,111.172874,112.12,111.89,111.742395,111.74197504600487
2024-05-23 11:32:20.358640+00:00,111.21315624000002,111.19859000000001,111.12345800000001,112.12,111.91,111.79397000000002,111.67716942374595
2024-05-23 15:31:58.080857+00:00,111.21315624000002,111.19859000000001,111.12345800000001,112.12,111.9,111.77333999999999,111.67716942374595
2024-05-23 19:32:15.554145+00:00,111.21315624000002,111.19859000000001,111.12345800000001,112.12,111.97,111.84554500000002,111.67716942374595
2024-05-24 09:36:40.998428+00:00,111.19884738,111.23391000000001,111.12345800000001,112.08,111.88,111.763025,111.67716942374595
2024-05-24 11:31:50.625041+00:00,111.19884738,111.23391000000001,111.135808,112.08,111.89,111.763025,111.73730976223382
2024-05-24 15:32:10.952018+00:00,111.19884738,111.23391000000001,111.135808,112.08,111.9,111.79397000000002,111.73730976223382
2024-05-24 19:31:53.595382+00:00,111.19884738,111.23391000000001,111.135808,112.08,111.92,111.79397000000002,111.73730976223382
2024-05-25 09:35:39.536127+00:00,111.24242935999999,111.25228,111.135808,112.08,111.96,111.742395,111.73730976223382
